primary_method,standardized_method_name,method_class
"(d, n) lexicographic measure",lexicographic_measure,direct_measure
Acc induction on size,well_founded_induction,structural_induction
Acc structural induction,structural_induction,structural_induction
"accessibility / structural induction (root-only, no congruence)",structural_induction,structural_induction
accessibility / structural recursion,well_founded_induction,structural_induction
accessibility proof by structural induction on terms,well_founded_induction,structural_induction
accessibility proof by structural induction on terms with banana third-argument chain-depth descent,well_founded_induction,structural_induction
accessibility proof by structural induction on Trace,well_founded_induction,structural_induction
accessibility proof by structural induction on Trace with finite grape-unwinding argument,well_founded_induction,structural_induction
accessibility proof by Trace.rec case analysis,well_founded_induction,structural_induction
accessibility proof using Acc and structural induction,well_founded_induction,structural_induction
active-constructor measure,direct_measure,direct_measure
additive F/S-count measure,direct_measure,direct_measure
analysis of recursive structure,structural_descent,structural_descent
argument measure,direct_measure,direct_measure
banana-depth plus grape-count measure,lexicographic_measure,direct_measure
compatible well-founded order via custom numeric interpretation measure,path_order_generic,path_order
complete induction on lexicographic measure of peel-rank banana-count and size,structural_induction,structural_induction
complete induction with root-constructor case analysis,structural_induction,structural_induction
complexity measure based on S-depth,direct_measure,direct_measure
computability predicate,tait_computability,structural_induction
computability predicate (reducibility candidates) method,tait_computability,structural_induction
constructor precedence measure,path_order_generic,path_order
constructor precedence ordering,path_order_generic,path_order
constructor precedence plus lexicographic subterm ordering,lpo,path_order
constructor-based recursion,structural_descent,structural_descent
constructor-consumption + size descent (congruence); root-only height descent,direct_measure,direct_measure
constructor-count measure,direct_measure,direct_measure
constructor-precedence measure,direct_measure,direct_measure
constructor-precedence well-founded measure argument,direct_measure,direct_measure
constructor-precedence with lexicographic subterm ordering,lpo,path_order
constructor-size measure with bounded two-step decrease argument,direct_measure,direct_measure
constructor-size measure with per-rule decrease checks,direct_measure,direct_measure
contextual TRS termination via simplification ordering,path_order_generic,path_order
count of S constructors,direct_measure,direct_measure
custom lexicographic measure,lexicographic_measure,direct_measure
custom multiset-based measure,multiset_measure,direct_measure
custom well-founded measure,direct_measure,direct_measure
decrease-in-a-natural-number measure; Recursive Path Ordering (RPO),direct_measure,direct_measure
decreasing count of S in third argument,direct_measure,direct_measure
decreasing measure,direct_measure,direct_measure
decreasing measure (#F + #S occurrences),direct_measure,direct_measure
decreasing measure (count of S in third argument),direct_measure,direct_measure
decreasing measure (height of third argument),direct_measure,direct_measure
decreasing measure / ranking function,direct_measure,direct_measure
decreasing measure / termination ordering,direct_measure,direct_measure
decreasing measure argument,direct_measure,direct_measure
decreasing measure on structural size of third argument,direct_measure,direct_measure
decreasing measure on the third argument of `F`,direct_measure,direct_measure
decreasing measure on third argument,direct_measure,direct_measure
decreasing measure on third argument of F,direct_measure,direct_measure
decreasing measure on third-argument size,direct_measure,direct_measure
decreasing multiset/natural-number measure,multiset_measure,direct_measure
decreasing recursive-argument / structural descent,structural_descent,structural_descent
decreasing S-constructor count measure,direct_measure,direct_measure
decreasing well-founded measure,direct_measure,direct_measure
decreasing-argument / structural-recursion on third argument of F,structural_descent,structural_descent
decreasing-measure / ranking argument,direct_measure,direct_measure
decreasing-measure / structural recursion,direct_measure,direct_measure
decreasing-measure / well-founded ordering,direct_measure,direct_measure
decreasing-measure argument,direct_measure,direct_measure
decreasing-measure argument on occurrences of `F`,direct_measure,direct_measure
decreasing-measure/structural recursion,direct_measure,direct_measure
decreasing‑measure,direct_measure,direct_measure
decreasing‑measure argument,direct_measure,direct_measure
decreasing‑measure proof,direct_measure,direct_measure
delta-count descent argument,direct_measure,direct_measure
delta-count lexicographic measure,lexicographic_measure,direct_measure
delta-count measure,direct_measure,direct_measure
delta-depth structural descent,structural_descent,structural_descent
demonstrating a non-terminating reduction sequence by substitution,objection_or_non_method,objection
dependency graph analysis,dependency_pairs,transformed_calls
Dependency pair method,dependency_pairs,transformed_calls
dependency pair method,dependency_pairs,transformed_calls
dependency pair method / size-based interpretation,dependency_pairs,transformed_calls
dependency pairs,dependency_pairs,transformed_calls
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO),dependency_pairs,transformed_calls
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO) with argument permutation,dependency_pairs,transformed_calls
dependency pairs + polynomial interpretation + LPO,dependency_pairs,transformed_calls
dependency pairs / matrix interpretations,dependency_pairs,transformed_calls
Dependency pairs method,dependency_pairs,transformed_calls
dependency pairs with lexicographic measure,dependency_pairs,transformed_calls
dependency pairs with size-based interpretation,dependency_pairs,transformed_calls
dependency pairs/subterm criterion; LPO/RPO,dependency_pairs,transformed_calls
dependency pairs; LPO/RPO,dependency_pairs,transformed_calls
depth / total S count measure,direct_measure,direct_measure
depth measure on third argument,direct_measure,direct_measure
descending-measure termination argument,direct_measure,direct_measure
descent counting (S constructors),direct_measure,direct_measure
eqW-count measure + terminating non-eqW subsystem (size / recΔ delta-count),direct_measure,direct_measure
exhibiting infinite family of longer normalizing derivations,objection_or_non_method,objection
explicit infinite reduction sequence,objection_or_non_method,objection
exponential interpretation,polynomial_interpretation,polynomial
external termination ordering,path_order_generic,path_order
finiteness of S-prefix on third argument,direct_measure,direct_measure
global S-count and term-size measures,direct_measure,direct_measure
global variant m(t),lexicographic_measure,direct_measure
grape-nesting depth measure,lexicographic_measure,direct_measure
height decrease; LPO or MPO,direct_measure,direct_measure
height of third argument,direct_measure,direct_measure
induction on lexicographic measure over eqW-count and recΔ-delta-depth complexity,structural_induction,structural_induction
induction on peeling depth,structural_induction,structural_induction
induction on peeling depth with secondary size induction,structural_induction,structural_induction
induction on size,structural_induction,structural_induction
induction on size of second argument,structural_induction,structural_induction
induction on syntactic measure / subterm ordering,structural_induction,structural_induction
induction on term size,structural_induction,structural_induction
induction on term size / multiset or lexicographic measure,structural_induction,structural_induction
induction on term size over root-rewriting cases,structural_induction,structural_induction
induction on term size with irreducible-expansion case split,structural_induction,structural_induction
induction on term size with root-constructor case split,structural_induction,structural_induction
induction on term size with root-only increasing-step isolation,structural_induction,structural_induction
induction on term structure,structural_induction,structural_induction
induction on third argument of F,structural_induction,structural_induction
inductive analysis,structural_induction,structural_induction
inductive analysis and structural termination,structural_induction,structural_induction
inert-G reachable-redex argument,structural_descent,structural_descent
informal analysis,direct_measure,direct_measure
Informal analysis of decreasing successor depth,direct_measure,direct_measure
informal analysis of decreasing successor depth,direct_measure,direct_measure
informal analysis of reduction sequences,direct_measure,direct_measure
informal analysis of the rewrite rules,direct_measure,direct_measure
informal argument assuming the third argument represents natural numbers,direct_measure,direct_measure
informal decrease argument,direct_measure,direct_measure
informal decreasing-measure argument,direct_measure,direct_measure
informal descent argument (S-depth of third argument),direct_measure,direct_measure
Informal measure argument,direct_measure,direct_measure
informal measure argument,direct_measure,direct_measure
informal measure/structural-recursion argument,direct_measure,direct_measure
informal reasoning about potential infinite descent,direct_measure,direct_measure
Informal semantic analysis,direct_measure,direct_measure
informal semantic analysis,direct_measure,direct_measure
Informal structural analysis,structural_descent,structural_descent
informal structural analysis,structural_descent,structural_descent
informal structural analysis of recursion,structural_descent,structural_descent
informal structural decrease,structural_descent,structural_descent
informal structural descent,structural_descent,structural_descent
informal structural induction,structural_induction,structural_induction
informal structural-decrease argument,structural_descent,structural_descent
informal structural-descent argument,structural_descent,structural_descent
informal structural/measure argument,structural_descent,structural_descent
informal structural/semantic argument,structural_descent,structural_descent
informal structural/shape-based reasoning,structural_descent,structural_descent
informal syntactic argument,direct_measure,direct_measure
informal termination analysis,direct_measure,direct_measure
informal termination argument based on decreasing S-count,direct_measure,direct_measure
informal well-founded descent argument,direct_measure,direct_measure
informal well-founded measure,direct_measure,direct_measure
intuitive analysis based on pattern matching and reduction sequences,direct_measure,direct_measure
KBO (Knuth-Bendix ordering),path_order_generic,path_order
Knuth-Bendix Ordering (KBO),path_order_generic,path_order
lexicographic / path ordering,path_order_generic,path_order
Lexicographic / Recursive Path Ordering,lpo,path_order
lexicographic / recursive term measure,lexicographic_measure,direct_measure
lexicographic 4-tuple (cherry/grape/peach/banana counts),lexicographic_measure,direct_measure
lexicographic combination of measures,lexicographic_measure,direct_measure
lexicographic constructor-count measure,lexicographic_measure,direct_measure
lexicographic constructor-count/depth measure,lexicographic_measure,direct_measure
lexicographic constructor-count/size measure,lexicographic_measure,direct_measure
Lexicographic counting of S and F symbols,lexicographic_measure,direct_measure
lexicographic F/S-count measure,lexicographic_measure,direct_measure
lexicographic interpretation into naturals,polynomial_interpretation,polynomial
lexicographic leading-S measure,lexicographic_measure,direct_measure
lexicographic measure,lexicographic_measure,direct_measure
lexicographic measure (#eqW / #recΔ / delta-depth multiset / size),multiset_measure,direct_measure
"lexicographic measure (#F, #S)",lexicographic_measure,direct_measure
lexicographic measure (#grape #cherry size),lexicographic_measure,direct_measure
lexicographic measure (#grape / #cherry / size),lexicographic_measure,direct_measure
"lexicographic measure (#grape, size)",lexicographic_measure,direct_measure
lexicographic measure (#S #F),lexicographic_measure,direct_measure
"lexicographic measure (#S, #F)",lexicographic_measure,direct_measure
lexicographic measure (banana grape-depth multiset / size),multiset_measure,direct_measure
