primary_method,standardized_method_name,method_class,provenance,reason
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO),dependency_pairs,transformed_calls,double-blind-2026-07-06:agree,leads with dependency pairs; DP is the primary transformed-calls method
KBO (Knuth-Bendix ordering),path_order_generic,path_order,double-blind-2026-07-06:agree,KBO is a path-order-family label in this vocabulary
Knuth-Bendix Ordering (KBO),path_order_generic,path_order,double-blind-2026-07-06:agree,KBO is a path-order-family label in this vocabulary
LPO (lexicographic path order),lpo,path_order,double-blind-2026-07-06:agree,explicit LPO
LPO (lexicographic path ordering),lpo,path_order,double-blind-2026-07-06:agree,explicit LPO
LPO + polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO as primary
LPO + structural induction,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO as primary
LPO / weight function,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO as primary
LPO path order,lpo,path_order,double-blind-2026-07-06:agree,explicit LPO
LPO/RPO path order,path_order_generic,path_order,double-blind-2026-07-06:agree,fused LPO/RPO abbreviation maps generic like 'LPO/RPO reduction ordering'
LPO/RPO; polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,matches dictionary 'LPO/RPO / polynomial interpretation' -> lpo
LPO/path order,lpo,path_order,double-blind-2026-07-06:agree,explicit LPO
LPO; RPO; structural induction,lpo,path_order,double-blind-2026-07-06:agree,first committed method named is LPO
LPO; simple subterm argument,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Order (LPO) or polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Order (LPO) with precedence F>G,lpo,path_order,double-blind-2026-07-06:agree,LPO with explicit precedence
"Lexicographic Path Order (LPO) with precedence F>G, F>S",lpo,path_order,double-blind-2026-07-06:agree,LPO with explicit precedence
Lexicographic Path Order (LPO); Polynomial Interpretations,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Order (LPO); structural induction,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Ordering (LPO) or Polynomial Interpretation,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Ordering (LPO) with precedence F>G,lpo,path_order,double-blind-2026-07-06:agree,LPO with explicit precedence
Lexicographic Path Ordering (LPO); Polynomial Interpretation,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Ordering (LPO); Polynomial Interpretations,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic Path Ordering (LPO); Recursive Path Ordering (RPO),lpo,path_order,double-blind-2026-07-06:agree,full-name LPO/RPO compound maps lpo per dictionary precedent
Lexicographic Path Ordering (LPO); polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic counting of S and F symbols,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,"lexicographically ordered symbol-count tuple, a counting measure"
Lexicographic ordering on S-depth,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,"lexicographic ordering over a depth measure, not a path order"
Lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic path ordering / well-founded measure,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Lexicographic/Recursive Path Ordering (LPO/RPO),lpo,path_order,double-blind-2026-07-06:agree,full-name variant maps lpo like 'Lexicographic/Recursive Path Ordering'
Lexicographical Path Ordering (LPO); structural induction,lpo,path_order,double-blind-2026-07-06:agree,leads with LPO as primary
Measure decrease on S-nesting depth,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-nesting depth measure; s_nesting renamed to direct_measure
