primary_method,standardized_method_name,method_class,provenance
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO) with argument permutation,dependency_pairs,transformed_calls,ai-precedent-2026-07-11
LPO/RPO path order; lexicographic measure (g c s),path_order_generic,path_order,ai-precedent-2026-07-11
LPO/path order or multiset measure,lpo,path_order,ai-precedent-2026-07-11
MPO/path order,path_order_generic,path_order,ai-precedent-2026-07-11
RPO or polynomial interpretation,rpo,path_order,ai-precedent-2026-07-11
S-count measure on reducible F third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count measure on term,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count measure on third argument,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count measure on third-argument spine,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count measure over F third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count sum over F-redex third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
S-count weight over F third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
S-height measure on F-redex third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
S/Z-count measure over F third arguments,direct_measure,direct_measure,ai-precedent-2026-07-11
"accessibility / structural induction (root-only, no congruence)",structural_induction,structural_induction,ai-precedent-2026-07-11
additive F/S-count measure,direct_measure,direct_measure,ai-precedent-2026-07-11
constructor-consumption + size descent (congruence); root-only height descent,direct_measure,direct_measure,ai-precedent-2026-07-11
eqW-count measure + terminating non-eqW subsystem (size / recΔ delta-count),direct_measure,direct_measure,ai-precedent-2026-07-11
exponential interpretation,polynomial_interpretation,polynomial,ai-precedent-2026-07-11
global S-count and term-size measures,direct_measure,direct_measure,ai-precedent-2026-07-11
induction on size of second argument,structural_induction,structural_induction,ai-precedent-2026-07-11
inert-G reachable-redex argument,structural_descent,structural_descent,ai-precedent-2026-07-11
lexicographic / recursive term measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic F/S-count measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic S-count/term-size measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic S/F-count measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic leading-S measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic measure,lexicographic_measure,direct_measure,ai-precedent-2026-07-11
"lexicographic measure (#F, #S)",lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic measure (#S #F),lexicographic_measure,direct_measure,ai-precedent-2026-07-11
lexicographic measure (#eqW / #recΔ / delta-depth multiset / size),multiset_measure,direct_measure,ai-precedent-2026-07-11
lexicographic measure (#grape / #cherry / size),lexicographic_measure,direct_measure,ai-precedent-2026-07-11
"lexicographic measure (S-count, F-count)",lexicographic_measure,direct_measure,ai-precedent-2026-07-11
